EN                  ES                  FR
Function            Funcion             Fonction 
Start               Inicio              Debut
End                 Fin                 Finir
DefineVar           DefinirVar          DefinirVar
DefineArr           DefinirVec          DefinirVec
DefineVarTyped      DefinirVarTipado    DefinirVarTipee
DefineArrTyped      DefinirVecTipado    DefinirVecTipee
Read                Leer                Lire
Write               Escribir            Ecrire
If                  Si                  Si
Else                DeLoContrario       AuContraire
EndIf               FinSi               FinirSi
Eval                Evaluar             Evaluer
Case                Caso                Cas
OtherCase           OtroCaso            AutreCas
EndEval             FinEvaluar          FinirEvaluer
While               Mientras            AlorsQue
EndWhile            FinMientras         FinirAlorsQue
Until               Hasta               JusquaCe
EndUntil            FinHasta            FinirJustquaCe
For                 Para                Pour
EndFor              FinPara             FinirPour
ForIn               PorCada             PourChaque
EndForIn            FinPorCada          FinirPourChaque
CallSelf            AutoEjecucion       AutoExecution
CallTo              Ejectutar           Executer
Class               Clase               Classe
EndClass            FinClase            FinirClasse    
Static              SoloClase           ClasseSoulement
Constructor         Constructor         Constructeur
New                 Nuevo               Nouveau
<-                  <-                  <-
+                   +                   +
-                   -                   -
*                   *                   *
/                   /                   /
%                   %                   %
<                   <                   <
>                   >                   >
==                  ==                  ==
!=                  !=                  !=
<=                  <=                  <=
>=                  >=                  >=
And                 Y                   Et
Or                  O                   Or
XOr                 ExO                 XOr
Not                 No                  Non
Concat              Unir                Concat
